"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"121","hey guys, do you like the fixed version of Wolves better?",FALSE,49571,NA,2016-04-05 00:43:50,FALSE,NA,"717150720324186112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kanyewest",8350,FALSE,FALSE,NA,NA
"122","https://t.co/KPOw5uHa5t",FALSE,22599,NA,2016-04-02 21:42:25,FALSE,NA,"716380291657367552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",5246,FALSE,FALSE,NA,NA
"123","Royère doesn't make a Polar bear bed but the Polar bear couch is my favorite piece of furniture we own https://t.co/tSJgikAUmT",FALSE,17697,NA,2016-04-02 21:41:40,FALSE,NA,"716380100820754432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",3414,FALSE,FALSE,NA,NA
"124","and also my number one design rule of anything I do from shoes to music to homes is that Kim has to like it....",FALSE,73513,NA,2016-04-02 21:31:13,FALSE,NA,"716377473387077635",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",26946,FALSE,FALSE,NA,NA
"125","plus when you sit on the platform your calf is sort of half on half off",FALSE,12143,NA,2016-04-02 21:29:33,FALSE,NA,"716377052346060801",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",2779,FALSE,FALSE,NA,NA
"126","I love Rick Owens’ bed design but the back is too high for the beams and angle of the ceiling",FALSE,12769,NA,2016-04-02 21:28:09,FALSE,NA,"716376699739328512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",3109,FALSE,FALSE,NA,NA
"127","I've been trying to figure out the bed design for the master bedroom at our Hidden Hills compound... https://t.co/aEPqoBGY4b",FALSE,23954,NA,2016-04-02 21:24:54,FALSE,NA,"716375879715139584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",6620,FALSE,FALSE,NA,NA
"128","The Life of Pablo is now available for purchase https://t.co/xYu7lGJR7z https://t.co/mNTAUiie2V",FALSE,49533,NA,2016-04-01 05:08:31,FALSE,NA,"715767777823485953",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",21366,FALSE,FALSE,NA,NA
"129","https://t.co/pRxeehJpmL",FALSE,27164,NA,2016-03-31 02:51:36,FALSE,NA,"715370936330010624",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",14392,FALSE,FALSE,NA,NA
"130","And I love you like Kanye loves Kanye",FALSE,230815,NA,2016-03-31 02:51:09,FALSE,NA,"715370821368283136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",287432,FALSE,FALSE,NA,NA
"131","We still love Kanye",FALSE,50213,NA,2016-03-31 02:50:51,FALSE,NA,"715370747145953280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",40702,FALSE,FALSE,NA,NA
"132","That’s all it was Kanye",FALSE,39580,NA,2016-03-31 02:50:11,FALSE,NA,"715370578757156864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",26545,FALSE,FALSE,NA,NA
"133","Man that'd be so Kanye",FALSE,54516,NA,2016-03-31 02:49:39,FALSE,NA,"715370445646733312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",48290,FALSE,FALSE,NA,NA
"134","Called I Miss the Old Kanye",FALSE,44148,NA,2016-03-31 02:49:16,FALSE,NA,"715370347726553088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",31976,FALSE,FALSE,NA,NA
"135","What if Kanye made a song about Kanye",FALSE,69147,NA,2016-03-31 02:49:00,FALSE,NA,"715370280542203904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",60584,FALSE,FALSE,NA,NA
"136","I even had the pink polo I thought I was Kanye",FALSE,45988,NA,2016-03-31 02:47:37,FALSE,NA,"715369932977020929",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",33801,FALSE,FALSE,NA,NA
"137","I  used to love Kanye",FALSE,39262,NA,2016-03-31 02:47:05,FALSE,NA,"715369797538734080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",26766,FALSE,FALSE,NA,NA
"138","I used to love Kanye",FALSE,42370,NA,2016-03-31 02:44:53,FALSE,NA,"715369245148889089",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",31169,FALSE,FALSE,NA,NA
"139","And now I look and look around and there’s so many Kanyes",FALSE,46827,NA,2016-03-31 02:43:59,FALSE,NA,"715369018849361920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",32773,FALSE,FALSE,NA,NA
"140","It wasn’t any Kanyes",FALSE,35787,NA,2016-03-31 02:43:05,FALSE,NA,"715368790184296448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",24614,FALSE,FALSE,NA,NA
"141","See I invented Kanye",FALSE,43716,NA,2016-03-31 02:42:46,FALSE,NA,"715368712765882369",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",31611,FALSE,FALSE,NA,NA
"142","I gotta say at that time I’d like to meet Kanye",FALSE,43268,NA,2016-03-31 02:39:48,FALSE,NA,"715367967027027968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",30104,FALSE,FALSE,NA,NA
"143","Chop up the beats Kanye",FALSE,38572,NA,2016-03-31 02:39:28,FALSE,NA,"715367881807147008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",27447,FALSE,FALSE,NA,NA
"144","I miss the sweet Kanye",FALSE,45284,NA,2016-03-31 02:39:03,FALSE,NA,"715367775506677762",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",34774,FALSE,FALSE,NA,NA
"145","Spaz in the news Kanye",FALSE,38188,NA,2016-03-31 02:37:52,FALSE,NA,"715367476855443456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",26501,FALSE,FALSE,NA,NA
"146","The always rude Kanye",FALSE,48312,NA,2016-03-31 02:37:00,FALSE,NA,"715367259783475201",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",34553,FALSE,FALSE,NA,NA
"147","The bad mood Kanye",FALSE,44626,NA,2016-03-31 02:34:43,FALSE,NA,"715366686036201477",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",35956,FALSE,FALSE,NA,NA
"148","I hate the new Kanye",FALSE,50665,NA,2016-03-31 02:34:24,FALSE,NA,"715366605862092800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",41478,FALSE,FALSE,NA,NA
"149","Set on his goals Kanye",FALSE,40978,NA,2016-03-31 02:33:59,FALSE,NA,"715366500996136960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",29643,FALSE,FALSE,NA,NA
"150","Chop up the soul Kanye",FALSE,42873,NA,2016-03-31 02:32:35,FALSE,NA,"715366150415237120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",31584,FALSE,FALSE,NA,NA
"151","Straight from the Go Kanye",FALSE,43213,NA,2016-03-31 02:31:52,FALSE,NA,"715365970970329088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",30505,FALSE,FALSE,NA,NA
"152","I miss the old Kanye",FALSE,92757,NA,2016-03-31 02:30:53,FALSE,NA,"715365723372175362",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",85588,FALSE,FALSE,NA,NA
"153","daytime https://t.co/pbwx4ehCiU",FALSE,58248,NA,2016-03-30 17:50:50,FALSE,NA,"715234848256827392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",10917,FALSE,FALSE,NA,NA
"154","you have to know who you are before you can become it.",FALSE,115969,NA,2016-03-30 15:11:46,FALSE,NA,"715194815588073475",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",114338,FALSE,FALSE,NA,NA
"155","feels good to be home https://t.co/geVZcKV4gL",FALSE,40360,NA,2016-03-30 14:20:49,FALSE,NA,"715181992862584832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",6471,FALSE,FALSE,NA,NA
"156","Pablo did 250 Million... This is not regular! https://t.co/EbXEgUdM1M",FALSE,40784,NA,2016-03-30 14:20:08,FALSE,NA,"715181821659455488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",15386,FALSE,FALSE,NA,NA
"157","Ultralight Prayer:  https://t.co/CiopQ9BbGl 
Happy Easter!",FALSE,38147,NA,2016-03-27 19:16:39,FALSE,NA,"714169281257320448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",25267,FALSE,FALSE,NA,NA
"158","Young Thug is super inspiring to me. Amazing artist!!! https://t.co/tMh438xqJ8",FALSE,57906,NA,2016-03-25 00:48:34,FALSE,NA,"713165644829757441",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",40646,FALSE,FALSE,NA,NA
"159","I used an exclamation just to be an asshole and also to make a point! LOL",FALSE,44305,NA,2016-03-23 00:09:24,FALSE,NA,"712431014509944834",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",24520,FALSE,FALSE,NA,NA
"160","And I used a period because contrary to popular belief I strongly dislike exclamation points!",FALSE,29605,NA,2016-03-23 00:09:06,FALSE,NA,"712430936365862912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",14034,FALSE,FALSE,NA,NA
"161","On another note, I strongly dislike suit jackets. I used the word dislike because I hate the word hate.",FALSE,39362,NA,2016-03-23 00:08:09,FALSE,NA,"712430696426565632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",19011,FALSE,FALSE,NA,NA
"162","I love you.",FALSE,77728,NA,2016-03-22 23:54:16,FALSE,NA,"712427204114837505",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",77392,FALSE,FALSE,NA,NA
"163","I have so much love in my heart and we just need the shot to create live breathe.",FALSE,28911,NA,2016-03-22 23:53:50,FALSE,NA,"712427093930467329",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",15536,FALSE,FALSE,NA,NA
"164","I love you guys.",FALSE,33720,NA,2016-03-22 23:52:52,FALSE,NA,"712426852254670848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",16192,FALSE,FALSE,NA,NA
"165","Everyone has made mistakes. I just make them in public.",FALSE,99024,NA,2016-03-22 23:52:35,FALSE,NA,"712426781245050880",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",65306,FALSE,FALSE,NA,NA
"166","Don't hide from the truth because it is the only light.",FALSE,33348,NA,2016-03-22 23:52:05,FALSE,NA,"712426655017517056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",30573,FALSE,FALSE,NA,NA
"167","Don't be mad at the truth. When you don't like me you are merely shooting the messenger.",FALSE,21483,NA,2016-03-22 23:51:39,FALSE,NA,"712426548155039752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",12136,FALSE,FALSE,NA,NA
"168","Don't be scared of the truth because we need to restart the human foundation in truth",FALSE,19252,NA,2016-03-22 23:49:18,FALSE,NA,"712425953423695875",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",12082,FALSE,FALSE,NA,NA
"169","They think we're stupid. They do not know how to communicate.",FALSE,16180,NA,2016-03-22 23:48:21,FALSE,NA,"712425717619937281",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",7372,FALSE,FALSE,NA,NA
"170","When companies doubt me they doubt us.",FALSE,12390,NA,2016-03-22 23:47:54,FALSE,NA,"712425602217865216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",3480,FALSE,FALSE,NA,NA
"171","That dreams will actualize. Dreams will manifest.",FALSE,17352,NA,2016-03-22 23:45:56,FALSE,NA,"712425107306758145",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",10296,FALSE,FALSE,NA,NA
"172","I have a dream.",FALSE,22882,NA,2016-03-22 23:45:10,FALSE,NA,"712424912997195776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",16572,FALSE,FALSE,NA,NA
"173","Eventually the guys with real ideas not running a scam on the world will overcome.",FALSE,20407,NA,2016-03-22 23:44:37,FALSE,NA,"712424774891409410",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",10813,FALSE,FALSE,NA,NA
